incident_type,severity,attacker_info,attack_details,threat_score,foreign_scripts_detected,base44_impact,resolved,resolved_at,notes,id,created_date,updated_date,created_by_id,is_sample
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:07.611Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d01816eda41e590005fe","2025-11-09T17:32:08.429000","2025-11-09T17:32:08.429000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:07.504Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d018891ee922bac98055","2025-11-09T17:32:08.314000","2025-11-09T17:32:08.314000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:07.385Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d018ac1688a0ee55dc4c","2025-11-09T17:32:08.204000","2025-11-09T17:32:08.204000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:07.284Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d0182d14dcedb4f6c4c6","2025-11-09T17:32:08.118000","2025-11-09T17:32:08.118000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:07.181Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d017e615312a635cc710","2025-11-09T17:32:07.996000","2025-11-09T17:32:07.996000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:07.073Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d017606e1898e36b4192","2025-11-09T17:32:07.885000","2025-11-09T17:32:07.885000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:06.961Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d017f89ab389d981d12e","2025-11-09T17:32:07.780000","2025-11-09T17:32:07.780000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:06.845Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d0177d8521a654d5a96d","2025-11-09T17:32:07.660000","2025-11-09T17:32:07.660000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:06.741Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d017606e1898e36b4191","2025-11-09T17:32:07.575000","2025-11-09T17:32:07.575000","68dbfcb329e82d13ee45e2a3","false"
"unauthorized_storage_change","high","{""ip_address"":""174.201.240.112"",""user_agent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""device_type"":""desktop"",""browser"":""Chrome"",""os"":""Linux x86_64"",""screen_resolution"":""1517x852"",""timezone"":""America/Phoenix"",""language"":""en-US"",""suspected_username"":null,""geolocation"":null}","{""method"":""unauthorized_storage_change"",""target"":""/VideoGenerator"",""payload"":""{\""key\"":\""security_threats\""}"",""timestamp"":""2025-11-09T17:32:06.618Z"",""blocked"":true,""action_taken"":""LOGGED""}","70","[]","","false","","","6910d017ac1688a0ee55dc4a","2025-11-09T17:32:07.440000","2025-11-09T17:32:07.440000","68dbfcb329e82d13ee45e2a3","false"
