video_source,video_id,artist_name,track_name,extracted_features,lora_weights,training_confidence,genre,views,viral_score,id,created_date,updated_date,created_by_id,is_sample
"openai_generated","openai_1763960794901","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923e7dbe8bb5f1bce16c2a3","2025-11-24T05:06:35.031000","2025-11-24T05:06:35.031000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763958050151","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923dd22f15b26cc9f5b3ac9","2025-11-24T04:20:50.273000","2025-11-24T04:20:50.273000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763957773449","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923dc0dd28cefb0b74a7e2a","2025-11-24T04:16:13.589000","2025-11-24T04:16:13.589000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763951842204","Jamar Sanders","steers","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923c4e2c766e6394222cb13","2025-11-24T02:37:22.326000","2025-11-24T02:37:22.326000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763949299049","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923baf37b86b4dd7abdfff5","2025-11-24T01:54:59.184000","2025-11-24T01:54:59.184000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763948893451","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923b95d6b94c79c2e0a0604","2025-11-24T01:48:13.567000","2025-11-24T01:48:13.567000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763944590735","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923a88eac6dae7717232f38","2025-11-24T00:36:30.905000","2025-11-24T00:36:30.905000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763943986252","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923a6324044e88af9695e40","2025-11-24T00:26:26.371000","2025-11-24T00:26:26.371000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763943896664","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923a5d86e91c543eea131d9","2025-11-24T00:24:56.783000","2025-11-24T00:24:56.783000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
"openai_generated","openai_1763943871264","Jamar Sanders","steer","{""duration"":30,""total_shots"":33,""cuts_per_minute"":33.25,""average_shot_length"":null,""color_grading"":""teal-orange"",""color_palette"":null,""brightness"":75,""camera_movements"":[""pan-left"",""dolly-in"",""zoom-in""],""video_style"":""cinematic"",""professional_score"":85,""tempo_sync"":true}","","0.95","ai_generated","","80","6923a5bf50a29adb6029508c","2025-11-24T00:24:31.424000","2025-11-24T00:24:31.424000","service_646ea39f-4612-4911-9e24-2961aaead2b0","false"
